# region	12+log(O/H)	log(N/O)	log(S/O)	log(Ar/O)	log(Ne/O)
# Abundances are followed by the associated uncertainty
NGC5457-368.3-285.6 8.45 0.02 -1.12 0.05 -1.51 0.05 -2.41 0.05 -0.70 0.01 
NGC5457-455.7-55.8  8.18 0.03 -1.37 0.05 -1.47 0.06 -2.43 0.06 -0.61 0.05 
NGC5457-392.0-270.1 8.36 0.02 -1.09 0.06 -1.63 0.04 -2.27 0.04 -0.70 0.01 
NGC5457-414.1-253.6 8.28 0.03 -1.15 0.10 -1.60 0.06 -2.15 0.07 -0.67 0.06 
NGC5457-464.7-131.0 8.16 0.01 -1.34 0.05 -1.53 0.02 -2.46 0.05 -0.63 0.02 
NGC5457-466.1-128.2 8.01 0.04 -1.34 0.08 -1.50 0.08 -2.39 0.07 -0.69 0.06 
NGC5457-479.7-3.9   8.15 0.01 -0.90 0.07 -1.61 0.02 -2.53 0.05 -0.70 0.02 
NGC5457-481.4-0.5   7.95 0.03 -1.30 0.05 -1.46 0.06 -2.47 0.06 -0.57 0.05 
NGC5457-453.8-191.8 8.24 0.06 -1.38 0.13 -1.68 0.14 -2.60 0.07 -0.64 0.02 
NGC5457+331.9+401.0 8.23 0.01 -1.33 0.05 -1.56 0.04 -2.38 0.05 -0.69 0.03 
NGC5457+324.5+415.8 8.23 0.02 -1.31 0.05 -1.48 0.03 -2.49 0.06 -0.70 0.04 
NGC5457+315.3+434.4 8.33 0.01 -1.29 0.04 -1.37 0.02 -2.42 0.05 -0.62 0.04 
NGC5457-540.5-149.9 7.89 0.01 -1.33 0.07 -1.66 0.05 -2.26 0.05 -0.63 0.03 
NGC5457+509.5+264.1 8.29 0.06 -1.34 0.17 -1.43 0.08 -2.27 0.08 -0.64 0.02 
NGC5457+266.0+534.1 8.18 0.03 -1.37 0.05 -1.47 0.06 -2.43 0.06 -0.61 0.05 
NGC5457+667.9+174.1 8.16 0.02 -1.34 0.11 -1.43 0.05 -2.17 0.05 -0.72 0.02 
NGC5457+650.1+270.7 8.09 0.04 -1.35 0.08 -1.47 0.06            -0.58 0.10 
NGC5457+692.1+272.9 8.10 0.04 -1.45 0.12 -1.35 0.12 -2.33 0.09 -0.67 0.07 
NGC5457+1.0+885.8   7.86 0.01 -1.46 0.02 -1.45 0.02 -2.69 0.06 -0.68 0.05 
NGC5457+6.6+886.3   7.92 0.01 -1.40 0.05 -1.40 0.02 -2.65 0.05 -0.67 0.03 
NGC5457-8.5+886.7   7.81 0.02 -1.42 0.06 -1.32 0.04 -2.79 0.10 -0.68 0.10 
